,Unnamed: 0,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
44329,44329,3389,6,2100714,8,7,1144,1581,677,0,143.0,227.9699228282,1173,0,225.8571428571,430.0986044197,1297.1780070966,7.1404293969,150051.0,247220.704281075,953169,75,2100714,300102.0,392354.878352069,1175837,75,1929516,321586.0,310818.94904526,953169,177970,0,172,152,3.8082290117,3.3322003852,0,1173,170.3125,319.402717323,102018.095833333,0,0,1,1,0,0,1,181.66667,143.0,225.85715,8,1144,7,1581,8192,62856,5,20,0.0,0.0,0,0,0.0,0.0,0,0,1
834814,834814,80,6,5007367,5,3,646,364,646,0,129.2,288.899982693,364,0,121.3333333333,210.155497985,201.70277759326785,1.5976457630733345,715338.2616141549,1862791.61891412,4939405,16,5007367,1251842.0,2458573.6884684013,4939405,418,3256,1628.251632921602,618.7688645474435,2065,1190,0,112,72,0.9985286019334206,0.5991171611399139,0,646,112.2222222222,233.5774913052,54558.4444444445,0,0,1,1,0,0,1,126.25,129.2,121.333336,5,646,3,364,8192,221,1,20,0.0,0.0,0,0,0.0,0.0,0,0,9
11719,11719,443,6,83084822,8,8,622,6195,289,0,77.75,115.8111146899,1460,0,774.375,645.2073725334,82.0486803233,0.1925742827,5538988.13333333,21430724.3664766,83006432,1,83084822,11869260.0,31368545.4544149,83006432,326,61663,8809.0,10373.0754198871,23025,1,0,172,172,0.0962871414,0.0962871414,0,1460,401.0,565.6815579458,319995.625,0,0,0,1,0,0,0,426.0625,77.75,774.375,8,622,8,6195,8192,980,3,20,0.0,0.0,0,0,0.0,0.0,0,0,1
195553,195553,21,6,1,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,40,20,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,2
473616,473616,8080,6,506,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3952.56917,506.0,0.0,506,506,506,506.0,0.0,506,506,0,0.0,0.0,0,0,0,40,0,3952.56917,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.0,0.0,2,0,0,0,256,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,5
428293,428293,8080,6,12030,3,4,326,129,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,37822.11139,581.8786367,2005.0,4457.682223,11094,1,605,302.5,358.5031381,556,49,11495,3831.666667,6292.528453,11094,1,0,72,92,249.3765586,332.5020781,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,1,65.0,108.666664,32.25,3,326,4,129,8192,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,5
899924,899924,80,6,5008820,4,4,646,364,646,0,161.5,323.0,364,0,91.0,182.0,201.64428563790236,1.597182460457983,715545.76597162,1868215.1938463568,4952027,20,56793,18931.088,31839.923025081887,55696,361,5008793,1669597.9638291425,2888728.0133608133,5005213,1091,0,92,92,0.7985912302289915,0.7985912302289915,0,646,112.2222222222,233.5774913052,54558.4444444445,0,0,1,1,0,0,1,126.25,161.5,91.0,4,646,4,364,8192,221,1,20,0.0,0.0,0,0,0.0,0.0,0,0,9
211716,211716,22,6,370318,23,22,1928,2665,640,0,83.8260869565,135.8473917085,976,0,121.1363636364,258.6415602914,12402.8537635222,121.5171825296,8416.3181818182,16461.9056524559,72477,6,369561,16798.227,23251.8226770081,72477,174,370310,17633.8095238095,35672.9836902088,155740,13,0,744,712,62.1087821818,59.4084003478,0,976,99.847826087,202.0257373473,40814.3985507246,0,0,0,1,0,0,0,102.066666,83.82609,121.13636,23,1928,22,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,3
812953,812953,80,6,55789440,153,104,54995,72487,646,0,359.4444444444,271.4171844443,1068,0,696.9962982487762,368.23918585954607,2285.070587289539,4.60661379357874,217927.503068979,409923.18944862566,1079131,5,55787490,367022.97,478289.4957107561,1079131,280,55789435,541645.0076277535,552319.9713683006,1145140,29,0,3072,2092,2.74245879542803,1.86415499815071,0,1068,494.1186628599513,355.41363704388806,126318.85457573213,0,0,1,1,0,0,1,496.04132,359.44446,696.9963,153,54995,104,72487,8192,1228,101,20,0.0,0.0,0,0,0.0,0.0,0,0,9
978226,978226,80,6,119,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,19522.18055483048,93.704756752704,34.23608381637343,117,69,119,93.70476,34.23608381637343,117,69,0,0.0,0.0,0,0,0,46,0,19522.18055483048,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.0,0.0,2,0,0,0,2053,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,10
962768,962768,80,6,167,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,14046.5971564407,130.079573754459,49.22249961999444,164,95,167,130.07957,49.22249961999444,164,95,0,0.0,0.0,0,0,0,46,0,14046.5971564407,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.0,0.0,2,0,0,0,2053,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,10
775369,775369,80,17,672649,4098,0,131136,0,32,32,32.0,0.0,0,0,0.0,0.0,194954.6771456205,6092.333661459926,164.18101653678983,8598.328391143064,550356,1,672649,164.18102,8598.328391143064,550356,1,0,0.0,0.0,0,0,0,32784,0,6092.333661459926,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,32.00781,32.0,0.0,4098,131136,0,0,-1,-1,4097,8,0.0,0.0,0,0,0.0,0.0,0,0,8
49831,49831,80,6,53862610,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0371315092,53862610.0,0.0,53862610,53862610,53862610,53862610.0,0.0,53862610,53862610,0,0.0,0.0,0,0,0,40,0,0.0371315092,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.0,0.0,2,0,0,0,279,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,1
919987,919987,80,6,130,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,16254.542123290654,119.09923347211506,11.304337965952328,127,111,130,119.099236,11.304337965952328,127,111,0,0.0,0.0,0,0,0,42,0,16254.542123290654,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.0,0.0,2,0,0,0,2053,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,10
709016,709016,80,17,119696891,-19782,0,3561256,0,32,32,32.0,0.0,0,0,0.0,0.0,29752.29105052348,929.7590952118436,1075.5571010213905,20910.20396004876,703264,0,120000000,1075.5571,20910.20396004876,703264,0,0,0.0,0.0,0,0,0,890314,0,929.7590952118436,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,32.000286,32.0,0.0,-19782,3561256,0,0,-1,-1,-19783,8,0.0,0.0,0,0,0.0,0.0,0,0,8
318078,318078,80,6,15562,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,128.5181853,15562.0,0.0,15562,15562,15562,15562.0,0.0,15562,15562,0,0.0,0.0,0,0,0,40,0,128.5181853,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.0,0.0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,4
89947,89947,445,6,268009,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,14.9248719259,89336.3333333333,154674.450253858,267939,1,268009,134004.5,189509.567105463,268008,1,0,0.0,0.0,0,0,0,72,32,11.1936539445,3.7312179815,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,3,0,1,0,8192,8192,0,20,0.0,0.0,0,0,0.0,0.0,0,0,1
516833,516833,80,6,5009947,4,4,563,662,563,0,140.75,281.5,662,0,165.5,331.0,244.5135647144,1.5968232798,715706.714285714,1891352.18514803,5004889,7,5058,1686.0,2120.5610106762,4129,321,5009940,1669980.0,2888326.21718133,5005131,357,0,136,136,0.7984116399,0.7984116399,0,662,136.1111111111,271.2187514003,73559.6111111111,0,0,0,1,0,0,0,153.125,140.75,165.5,4,563,4,662,26883,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,6
1002639,1002639,80,6,5005956,5,3,602,1872,602,0,120.45539083559748,269.34644216472645,1872,0,624.282045522562,1081.288221098192,494.4355718918697,1.5980961531079916,715136.6622705708,1890323.1981308255,5001986,17,5005956,1251489.1,2500331.874847404,5001986,139,2845,1422.7947551732789,1177.0495191235125,2255,590,0,112,72,0.9988100956565334,0.5992860574529969,0,1872,275.0136767495304,631.4272849406346,398700.4743623217,0,0,1,1,0,0,1,309.39038,120.45539,624.28204,5,602,3,1872,8192,220,1,20,0.0,0.0,0,0,0.0,0.0,0,0,11
493529,493529,8080,6,10056,3,4,326,129,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,45246.61893,696.1018298,1676.0,3709.60661,9241,19,463,231.5,253.8513344,411,52,9664,3221.333333,5216.483522,9241,26,0,72,92,298.3293556,397.7724741,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,1,65.0,108.666664,32.25,3,326,4,129,8192,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,5
892062,892062,0,0,112641274,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266332214031039,56320637.15610616,37.54613645087807,56320663,56320610,112641274,56320636.0,37.54613645087807,56320663,56320610,0,0.0,0.0,0,0,0,0,0,0.0266332214031039,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320637.15610616,37.54613645087807,56320663,56320610,9
886240,886240,80,6,110,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,18067.809898816355,110.69602056772612,0.0,110,110,110,110.69602,0.0,110,110,0,0.0,0.0,0,0,0,40,0,18067.809898816355,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.0,0.0,2,0,0,0,2047,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,9
1093537,1093537,80,6,5441008,12,6,2672,8270,576,0,166.3688966988844,256.317888887652,1189,0,819.7209358688517,521.5252275817572,1860.677239815249,3.384477500794158,468347.4976013735,1163206.5837529113,3099664,17,5441008,801586.6,1507193.3924894352,3099664,374,2311820,232538.7827999828,220447.1455696392,489567,1984,0,262,147,2.19460791708661,1.1898695837075477,0,1189,374.9623950275186,493.3193835329458,325033.4420611874,0,0,1,1,0,0,1,392.27094,166.3689,819.72095,12,2672,6,8270,8192,259,4,20,0.0,0.0,0,0,0.0,0.0,0,0,11
32407,32407,443,6,118612692,19,21,1592,6421,301,0,83.7894736842,106.6534257133,1430,0,305.7619047619,499.0980770111,67.5560082558,0.3372320392,3041351.07692308,13013095.0064745,58535670,0,118612692,6589594.0,18818389.4231972,58586997,34,118535325,5926766.25,17923237.8452901,58548611,0,0,392,432,0.1601852186,0.1770468206,0,1430,195.4390243902,378.0662672588,142934.102439024,0,0,0,1,0,0,0,200.325,83.789474,305.7619,19,1592,21,6421,8192,189,12,20,984331.0,1281823.3739451,1890717,77945,58283211.0,357030.941743149,58535670,58030752,1
290265,290265,22,6,394909,22,22,1960,2665,640,0,89.0909090909,137.9533769037,976,0,121.1363636364,258.6415602914,11711.5588654601,111.4180735309,9183.9302325581,23868.1793791644,108780,3,394401,18781.0,31859.3722176065,108780,274,394906,18805.0476190476,40734.2842216188,149025,14,0,712,712,55.7090367654,55.7090367654,0,976,102.7777777778,203.7465994015,41512.6767676768,0,0,0,1,0,0,0,105.11364,89.09091,121.13636,22,1960,22,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,3
190338,190338,21,6,17,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,117647.058823529,17.0,0.0,17,17,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,40,20,58823.5294117647,58823.5294117647,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,2
703705,703705,80,17,119680267,-12691,0,3788167,0,32,32,32.0,0.0,0,0,0.0,0.0,31652.4008212032,989.137525760081,1010.9917535701212,21023.43638909768,594498,0,120000000,1010.99176,21023.43638909768,594498,0,0,0.0,0.0,0,0,0,947041,0,989.137525760081,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,32.00027,32.0,0.0,-12691,3788167,0,0,-1,-1,-12692,8,0.0,0.0,0,0,0.0,0.0,0,0,8
273164,273164,22,6,6,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,333333.333333333,6.0,0.0,6,6,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,166666.666666667,166666.666666667,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0.0,0.0,0.0,1,0,1,0,241,230,0,32,0.0,0.0,0,0,0.0,0.0,0,0,3
824671,824671,80,6,21,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,95238.0952380952,21.0,0.0,21,21,21,21.0,0.0,21,21,0,0.0,0.0,0,0,0,40,0,95238.0952380952,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.0,0.0,2,0,0,0,2051,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,9
522257,522257,80,6,1957571,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.0216743096,1957571.0,0.0,1957571,1957571,1957571,1957571.0,0.0,1957571,1957571,0,0.0,0.0,0,0,0,64,0,1.0216743096,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.0,0.0,2,0,0,0,226,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,6
503699,503699,80,6,11247781,4,4,345,972,345,0,86.25,172.5,972,0,243.0,486.0,117.0897619717,0.7112514015,1606825.85714286,2767034.36700838,6244599,3,6246073,2082024.4,3605188.13230105,6244937,310,11247778,3749259.33333333,3304889.9743989,6244599,1138,0,136,136,0.3556257007,0.3556257007,0,972,146.3333333333,329.978787197,108886.0,0,0,0,1,0,0,0,164.625,86.25,243.0,4,345,4,972,26883,219,1,32,1141.0,0.0,1141,1141,6244599.0,0.0,6244599,6244599,6
283169,283169,22,6,358643,22,22,1912,2665,640,0,86.9090909091,137.6880217811,976,0,121.1363636364,258.6415602914,12761.9945182256,122.6846752899,8340.5348837209,22664.8324401576,125166,6,358150,17054.762,30487.8855234415,125166,168,358636,17077.9047619048,36172.3775606536,125463,26,0,712,712,61.342337645,61.342337645,0,976,101.7111111111,203.7371995112,41508.8464646465,0,0,0,1,0,0,0,104.02273,86.90909,121.13636,22,1912,22,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,3
941424,941424,80,6,56791330,203,104,56330,190004,680,0,277.4876847291,292.8687801257,1935,0,1826.967648767312,320.4823061269732,4337.539481643454,5.405754724441205,185592.58231374383,363166.98614120536,1019118,21,56789103,281134.16,416102.69570292864,1019118,446,56791305,551371.8978987528,440099.3350160261,1021740,59,0,4072,2092,3.5744892803026844,1.8312654441089635,0,1935,799.7877775058757,794.223360401046,630790.7464896009,0,0,1,1,0,0,1,802.39294,277.48767,1826.9677,203,56330,104,190004,8192,1284,101,20,0.0,0.0,0,0,0.0,0.0,0,0,10
1001443,1001443,80,6,9436498,7,5,1434,3776,602,0,202.5586083058269,297.4679253234282,2001,0,614.1781227920059,888.947703333615,580.7949448158876,1.3764590331425226,867861.8081508696,1897599.2124854284,5000909,18,4435589,821099.9,1859975.6478407164,4358867,439,9436474,2176415.957640844,2656824.147337921,5001322,2776,0,152,124,0.7670671627630616,0.6093918703794609,0,2001,355.45654339032365,624.7227467821338,407776.0987618361,0,0,1,1,0,0,1,383.2477,202.55861,614.1781,7,1434,5,3776,8192,234,2,20,0.0,0.0,0,0,0.0,0.0,0,0,11
45258,45258,53,17,1062,1,1,40,101,40,40,40.0,0.0,101,101,101.0,0.0,132768.361581921,1883.2391713748,1062.0,0.0,1062,1062,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,8,8,941.6195856874,941.6195856874,40,101,60.3333333333,35.2183664206,1240.3333333333,0,0,0,0,0,0,0,90.5,40.0,101.0,1,40,1,101,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,1
311484,311484,80,6,21362,3,4,323,935,323,0,107.6666667,186.4841369,935,0,233.75,467.5,58889.61708,327.6846737,3560.333333,6467.635786,16160,4,16438,8219.0,11230.2699,16160,278,21350,7116.666667,8426.000079,16430,22,0,72,92,140.4362887,187.248385,0,935,157.25,333.9661018,111533.3571,0,0,1,1,0,0,1,179.71428,107.666664,233.75,3,323,4,935,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,4
588262,588262,80,6,11409917,4,4,302,972,302,0,75.52252497835337,151.04504995670675,972,0,243.0,486.0,111.665111619667,0.7011444014303977,1629988.2606565538,2812698.239296696,6404694,3,6405364,2135121.8,3697838.734477787,6405018,32,11409914,3803304.711244341,3367006.7556415405,6404694,348,0,136,136,0.3505722007324704,0.3505722007324704,0,972,141.56556665702757,327.091829820447,106990.16857419854,0,0,0,1,0,0,0,159.26126,75.52252,243.0,4,302,4,972,26883,219,1,32,351.94492280024315,0.0,351,351,6404694.397674949,0.0,6404694,6404694,6
483258,483258,8080,6,11113,3,4,326,129,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,40943.03968,629.8929182,1852.166667,4129.698944,10273,1,568,284.0,328.0975465,516,52,10619,3539.666667,5833.77385,10273,1,0,72,92,269.9541078,359.9388104,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,1,65.0,108.666664,32.25,3,326,4,129,8192,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,5
353914,353914,80,6,23580,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,84.81764207,23580.0,0.0,23580,23580,23580,23580.0,0.0,23580,23580,0,0.0,0.0,0,0,0,40,0,84.81764207,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.0,0.0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,4
339380,339380,80,6,30384,3,4,315,935,315,0,105.0,181.8653348,935,0,233.75,467.5,41140.07372,230.3844128,5064.0,7748.374488,16313,4,14046,7023.0,9449.775024,13705,341,30374,10124.66667,8823.530605,16313,21,0,72,92,98.73617694,131.6482359,0,935,156.25,333.4104078,111162.5,0,0,1,1,0,0,1,178.57143,105.0,233.75,3,315,4,935,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,4
962273,962273,80,6,58256552,203,104,56194,189942,680,0,276.8212130829783,292.22802692899285,1935,0,1826.3709803936597,320.40117316676435,4225.130570734787,5.269870276665256,190380.8907122048,363558.9383355252,1026081,17,58254348,288387.88,414924.3050149227,1026081,366,58256527,565597.3549314054,428837.7831150214,1028725,36,0,4072,2092,3.4846373490836138,1.7852329276364176,0,1935,799.1470396648625,794.0856054546329,630571.9586507778,0,0,1,1,0,0,1,801.7501,276.8212,1826.371,203,56194,104,189942,8192,1282,101,20,0.0,0.0,0,0,0.0,0.0,0,0,10
937814,937814,80,6,451,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,6504.16654038898,235.36499964808297,298.06209777805907,446,24,451,235.365,298.06209777805907,446,24,0,0.0,0.0,0,0,0,58,0,6504.16654038898,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.0,0.0,2,0,0,0,2053,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,10
